等级,位置,类型,出处声明,引文,命中文献,命中章节,原文,匹配度,问题,建议,上下文
C,body[358],body,道德经,圣人执左契，而不责于人,道德经（王弼注）,第七十九章,圣人执左契,66.7,引文为“圣人执左契，而不责于人”，检索到的原文为“圣人执左契”，缺少“而不责于人”,应补充完整为“圣人执左契，而不责于人”,-- ⏎ --	2、“〖圣人执左契，而不责于人〗”出自《道德经》第七十九章。圣人：指领悟 “道” 的精髓、践行无为之道的人，是道家理想中的人格典范，既可以指有道的统治者，也可指修养极高的处世者；执左契：“执” 指持有、掌握，“契” 即契券，古代借贷【作者解读】作者对“圣人”“执左契”“不责于人”等词进行了逐词解释，并说明整句意思是：领悟大道的圣人，虽然持有契约的存根（掌握着主动权或正当依据），却不会凭借这些去苛责、逼迫他人。
C,body[359],body,论语,天之道，利而不害；圣人之道，为而不争,道德经（王弼注）,第八十一章,天之道，利而不害；动常生成之也。圣人之道，为而不争。顺天之利不相伤也,86.0,书稿声称出自《论语》，实际出自《道德经》第八十一章,将出处改为《道德经》第八十一章,权），向他人强行索取、苛责逼迫，不苛求他人履行义务。意思是：领悟大道的圣人，虽然持有契约的存根（掌握着主动权或正当依据），却不会凭借这些去苛责、逼迫他人。 ⏎ 23“〖天之道，利而不害；圣人之道，为而不争〗”该如何理解？ ⏎ 爸爸：“天之道，利而不害；圣人之道，为而不争”，这句话该如何理解？【作者解读】作者通过父子对话解释此句，认为其核心是“选择顺应天道则众人相助，违背天道则辛苦难成”，并关联《论语》的“君子谋道不谋食”。
C,body[442],body,道德经,天下皆知美之为美，斯恶已；皆之善之为善，斯不善已,道德经（王弼注）,第二章,天下皆知美之为美，斯恶已。皆知善之为善，斯不善已,87.0,引文误作“皆之善之为善”，原文为“皆知善之为善”,改为“天下皆知美之为美，斯恶已；皆知善之为善，斯不善已”,认为人性是本善还是本恶？ ⏎ 幺弟：爸爸，老子认为善和恶是相对的概念，是人有了分别心后才产生的东西。美与恶是共生的，你定义了善，不善的标准也就产生了。《道德经》中说“〖天下皆知美之为美，斯恶已；皆之善之为善，斯不善已〗”。善与恶是好多因素导致的，比如环境的影响就是很重要的因素之一。我们每个人出生之后就像一个木头，这个木头能做成什么东西，全看它处在什么样的环境里。我们人刚出生的时候只晓得饿了就哭，舒服了就笑，哪里有善【作者解读】出自《道德经》。作者通过对话形式引用，并随后以“木头”比喻解释环境对人性的影响。
C,body[653],body,荀子·修身,君子役物，小人役于物,论语（杨伯峻译注）,十二、本书引用诸家，除仲父及师友称字并称“先生”外，余皆称名。,君子⑴喻于义，小人⑴喻于,55.6,引文为'君子役物，小人役于物'，但检索结果为'君子喻于义，小人喻于义'，内容完全不同，且出处应为《荀子·修身》而非《论语》,应引用《荀子·修身》原文：'君子役物，小人役于物',用它打发时间。比如你哪个菜不会做，你就可以在手机里面搜个视频来教你。假如你心情不好了，可以搜点搞笑的视频来看看，心情恢复了就可以不看了。爸爸，这个样子就是你控制手机，而不是被手机控制。古人早就说了，“〖君子役物，小人役于物〗”，君子支配外物，小人被外物所支配。比如现在很多人每天没有目的刷短视频，就是被手机控制了，一不小心就被手机偷走了很多时间，好不划算。 ⏎ 注释：【作者解读】出自《荀子·修身》‌，原文为：“志意修则骄富贵，道义重则轻王公；内省而外物轻矣。传曰：‘君子役物，小人役于物。’ 此之谓矣。君子：指有道德、有修养的人。小人：与 “君子” 相对，指道德修养浅、被私欲左右的人（并非现代意义上的贬义）。 役：役使、支配、控制。物：外物、物质、财富、权势、名利等身外之物。于：介词，表被动，相当于 “被”。整句意思是：志向美好就能傲视富贵，把道义看得重就能藐视王公；注重内心反省，就会看轻身外之物。意思是：“古书上说：‘君子支配外物，小人被外物所支配。’ 说的就是这个道理啊。”
C,body[683],body,易经,天行健以自强不息,周易（南怀瑾译注）,第十一章,以自强不息,80.0,引文为'天行健以自强不息'，但检索结果仅匹配'以自强不息'，且原文应为'天行健，君子以自强不息'，缺少'君子'二字，且出处应为《周易》,应引用《周易》原文：'天行健，君子以自强不息',，他长大了肯定也会包容别人。《黄帝内经》中的理念启示我们，女性以血为本，以肝为先天，富养女就需要养其气血，舒其情志。 ⏎ “穷养儿”就是“穷养儿志”，像《易经》说的“〖天行健以自强不息〗”。穷养儿就是锻炼他的精神，培养他永不停息的奋斗精神，让他适当的接受挑战，感受挫折，磨砺他的意志。比如让儿子参加有强度的体育运动，锻炼他的毅力；家庭旅游的时候可以让他负责行程安排；如果学习困难的时候，【作者解读】作者用此句解释穷养儿的精神内涵。
C,body[913],body,周易·系辞上,乾道成男，坤道成女,周易（南怀瑾译注）,第一章,道成男，坤道成女,70.0,引文'乾道成男'与原文'道成男'相比，缺少'乾'字，属漏字,乾道成男，坤道成女,起来没有工资，其实这个工作缺一不可，不然娃儿没人带，他自己就能长大了吗？可是这个社会对全职妈妈不包容，只要不挣钱，在家里说话都不管用，天天忙的又没有时间打扮了，还被老公说成“黄脸婆”。《易经》里面说“〖乾道成男，坤道成女〗”，本来就该男的在外面打工，女的在家里带娃娃，只是分工不同嘛！现在的社会又要妈妈当乾，又要当坤，既要母鸡下蛋，又要母鸡打鸣儿。如果待在家里带娃，哪里做的不好，还要被老公嫌弃，谁能受得了呀！现在有很多全【作者解读】出自《周易·系辞上》。
C,body[993],body,诗经・邶风・柏舟,我心匪石，不可转也。我心匪席，不可卷也,诗经（周振甫译注）,,"石，

	不可转也。不可以转。

	我心匪席",61.1,matched_passage 不完整，缺少“我心匪石”和“不可卷也”部分，且顺序错乱,应引用完整原文：我心匪石，不可转也。我心匪席，不可卷也。,"！一日不见，如三月兮！”,妈妈听了肯定乐开花了! ⏎ 爸爸,你看嘛，你要想学会说好听的话，得看《诗经》，《诗经》里面的句子是美得很。比如哪个惹到我们了，我们可以说，“〖我心匪石，不可转也。我心匪席，不可卷也〗。”你看这些诗，是不是好美嘛！ ⏎ 注释：【作者解读】出自《诗经・邶风・柏舟》。"
C,note[1004],note,诗经·国风·邶风·柏舟,我心匪石，不可转也。我心匪席，不可卷也,诗经（周振甫译注）,,"石，

	不可转也。不可以转。

	我心匪席",61.1,matched_passage 不完整，缺少“我心匪石”和“不可卷也”部分，且顺序错乱,应引用完整原文：我心匪石，不可转也。我心匪席，不可卷也。,，悠悠我思。纵我不往，子宁不来？挑兮达兮，在城阙兮。一日不见，如三月兮！意思是：在城楼上来回徘徊、焦急张望，只一天没见到你啊，就感觉像隔了三个月那么漫长！ ⏎ 6、“〖我心匪石，不可转也。我心匪席，不可卷也〗”，出自《诗经·国风·邶风·柏舟》，为先秦时期一首抒发孤愤与坚贞心志的抒情诗。全诗共七章，此二句位于第三章核心，为全诗情感与哲思的巅峰，以双重否定构建不可撼动的精神坐标。整句意思是：我的心不是坚硬的石【作者解读】整句意思是：我的心不是坚硬的石头，不可以被随意转动、随意改变；我的心不是柔软的草席，不可以被随意卷曲、随意扭曲。
B,body[142],body,道德经,执古之道，以御今之有；能知古始，是谓道纪。,道德经（王弼注）,第十四章,执古之道，以御今之有。有，有其事。能知古始,89.5,引文有分号，候选原文无分号；引文有'能知古始，是谓道纪'，候选原文为'能知古始'后接'有，有其事'，但整体语义一致，差异属版本异文,,如果不尊重，那能对得起写书的圣人吗？ ⏎ 经书人人可读，好处可太多了，不仅可以妙解天地人之理；常读其文，还能身心受益。如果不读经书，去浪费它，真是可惜！老子也说了，“〖执古之道，以御今之有；能知古始，是谓道纪。〗”因此，我们要通古今，向古人学习他们的智慧，向天地学习万物的规律。通过什么途径学习呢？其实大量经书里面都已经教了我们的，就是现在好多人不知道，好可惜呀！ ⏎ 注释：【作者解读】出自老子《道德经》第十四章。
B,note[144],note,道德经,执古之道，以御今之有；能知古始，是谓道纪,道德经（王弼注）,第十四章,执古之道，以御今之有。有，有其事。能知古始,89.5,引文有分号，候选原文无分号；引文有'能知古始，是谓道纪'，候选原文为'能知古始'后接'有，有其事'，差异属版本异文,,注释： ⏎ --	1、“‌“〖执古之道，以御今之有；能知古始，是谓道纪〗”出自《道德经》第十四章。“执古之道”：指把握自古以来恒常不变的“道”，即宇宙的根本规律。“以御今之有”：用此恒常之道来驾驭当下的具体事物（“有”）。“能知古始，是谓道纪”：能够追溯万物的本源（古始）【作者解读】出自《道德经》第十四章。
B,body[149],body,论语·子路,其身正，不令而行。其身不正，虽有令不从。,论语（杨伯峻译注）,十二、本书引用诸家，除仲父及师友称字并称“先生”外，余皆称名。,曰：“其身正，不令而行；其身不正，虽令不从,83.3,引文为'虽有令不从'，候选原文为'虽令不从'，'有'字为衍文或版本差异，语义一致,,绪不好对自己孩子影响有多大，又不看书，不努力改变！《礼记》里面说的“为人父，止于慈；与国人交，止于信”，就是父母首先要用慈爱立身，要是父母都不慈爱，性格暴躁，怎教出慈爱的孩子呢？《论语》中还有一句：“〖其身正，不令而行。其身不正，虽有令不从。〗”引申到家庭教育中也是适用的。《易经》蒙养之道也说了：“蒙以养正，圣功也”。父母要教育孩子，我们首先要净化言行。教育孩儿首先要教育自己，自己教育好了，孩子自然就好了。爸爸，你看这个《论语》里面有好多智【作者解读】出自《论语·子路》。
B,note[157],note,论语·子路,其身正，不令而行。其身不正，虽有令不从。,论语（杨伯峻译注）,十二、本书引用诸家，除仲父及师友称字并称“先生”外，余皆称名。,曰：“其身正，不令而行；其身不正，虽令不从,83.3,引文为'虽有令不从'，候选原文为'虽令不从'，'有'字为衍文或版本差异，语义一致,,子、以身作则‌。“信”是立身之本，也是社会交往的底线。“父慈”‌ 在今天不仅指父亲，也泛指所有养育者。真正的慈爱，是‌在关爱中立规矩，在陪伴中促成长。‌ ⏎ 7)	“〖其身正，不令而行。其身不正，虽有令不从。〗”出自《论语·子路》的两段内容，意思是说，你自身端正自律，以身作则，不用要求和命令别人，别人也会遵循你的方式做事。你自己行为不端不以身作则，就算是你要求别人做到，别人也不会服从。这是将孔子关于“为政者【作者解读】出自《论语·子路》，作者将其引申应用到家庭教育领域，强调“以身作则”的普适性。
B,body[189],body,易经,匪我求同蒙，是童蒙求我,周易（南怀瑾译注）,第十一章,亨。匪2我求童蒙，童蒙求我,80.0,引文为'匪我求同蒙，是童蒙求我'，候选原文为'匪2我求童蒙，童蒙求我'，'同蒙'与'童蒙'为异体或版本差异，语义一致,,？ ⏎ 幺弟：如果小孩不晓得看这些经书，大人可以把这个国学经典融入到我们生活中去讲。老子的思想告诉我们，最高明的教化是让孩子不知不觉的学到东西。《易经》蒙卦也说了，“〖匪我求同蒙，是童蒙求我〗”，教育不是强灌，而是点燃小孩儿的好奇心。比如带孩子去野外玩耍，看见柳树和白杨树，发现白杨树的树枝被风一吹就容易折断，柳树枝一点儿都没断，风越大越不倒。大人就可以问娃娃：“假如是你，你愿意成为哪种树？【作者解读】出自《易经》蒙卦（䷃）《彖传》，强调启发式教育。
B,note[210],note,道德经,天之道，损有余而补不足；人之道则不然...，损不足以奉有馀,道德经（王弼注）,第七十七章,天之道，损有余而补不足。人之道则不然，与天地合德，乃能包之，如天之道。如人之量，则各有其身，不得相均，如惟无身无私乎，自然然后乃能与天,85.0,意译/缩写；引文有省略号'...'，且'人之道则不然...，损不足以奉有馀'与候选原文'人之道则不然，与天地合德...'差异较大，引文为常见通行本表述，候选原文为王弼注本，属意译或版本差异,建议核对通行本《道德经》第七十七章原文,"09 何为“天之道”和“人之道”？ ⏎ 爸爸：幺弟，我想问一下你，“〖天之道，损有余而补不足；人之道则不然...，损不足以奉有馀〗”,这句话你是如何理解的？ ⏎ 幺弟：爸爸，这句话就看字面意思嘛，就是“天之道”和“人之道”正好相反。为了达到这个平衡，如果你太强了，天就会削弱你，如果你太弱了，天就【作者解读】出自《道德经》"
B,note[215],note,道德经,天之道，损有余而补不足；人之道，则不然，损不足以奉有馀,道德经（王弼注）,第七十七章,天之道，损有余而补不足。人之道则不然，与天地合德，乃能包之，如天之道。如人之量，则各有其身，不得相均，如惟无身无私乎，自然然后乃能与天,85.0,意译/缩写；引文'人之道，则不然，损不足以奉有馀'与候选原文'人之道则不然，与天地合德...'差异较大，引文为常见通行本表述，候选原文为王弼注本，属意译或版本差异,建议核对通行本《道德经》第七十七章原文,注释： ⏎ --	1、“〖天之道，损有余而补不足；人之道，则不然，损不足以奉有馀〗”，出自《道德经·德经·第七十七章》。天的道，也就是规律，是通过减少过多的，补充不足的，体现宇宙运行中‌自我调节、趋于公平的动态平衡的内在机制‌。“人之道”指人类社会的实际运行法则，与天道背道而驰：‌【作者解读】天的道，也就是规律，是通过减少过多的，补充不足的，体现宇宙运行中自我调节、趋于公平的动态平衡的内在机制。“人之道”指人类社会的实际运行法则，与天道背道而驰：剥夺贫困者，去供养富裕者，导致贫者愈贫，富者愈富。
B,body[229],body,,反者道之动，弱者道之用,道德经（王弼注）,第四十章,反者道之动也。弱者道之,83.3,引文为'反者道之动，弱者道之用'，候选原文为'反者道之动也。弱者道之'，候选原文末尾不完整，但前半部分一致，差异属版本异文,,‌ ⏎ 11“〖反者道之动，弱者道之用〗”该如何理解？ ⏎ 爸爸：幺弟，“反者道之动，弱者道之用”这句话你是如何理解的？
B,body[230],body,道德经·第四十章,反者道之动，弱者道之用,道德经（王弼注）,第四十章,反者道之动也。弱者道之,83.3,引文为'反者道之动，弱者道之用'，检索结果为'反者道之动也。弱者道之'，后者多一'也'字且末尾缺'用'字，但属于版本差异，学术可接受,,11“反者道之动，弱者道之用”该如何理解？ ⏎ 爸爸：幺弟，“〖反者道之动，弱者道之用〗”这句话你是如何理解的？ ⏎ 幺弟：这个思想告诉我们两个道理，一方面是，做什么事情要想成功，要学会从它的反面入手。比如老子把水捧的很高，就是因为它对万物都有用，却永远【作者解读】出自《道德经·第四十章》
B,body[237],body,道德经,重为轻根，静为躁君。不行者使行，不动者制动,道德经（王弼注）,第二十六章,重为轻根，静为躁君。凡物轻不能载重，小不能镇大。不行者使行，不动者制动，是以重必为轻根，静必为躁君也。是以,86.0,引文包含'不行者使行，不动者制动'，检索结果中为'不行者使行，不动者制动也'，多一'也'字，属于版本差异,,-- ⏎ --	2、“以静制动”，成文出处（最早见载）南宋・张孝祥《于湖居士文集》，原文为：以静制动，以逸待劳，以直应曲。思想源头为：《道德经》第二十六章中讲的：“〖重为轻根，静为躁君。不行者使行，不动者制动〗。”以：用、凭借、依靠。静：静定、冷静、守一、不妄动。制：主宰、控制、驾驭、制约。动：躁动、妄动、纷扰、变动。整体意思是：以沉静、稳定、守本的状态，驾驭、制约躁动、变动的事物。【作者解读】出自《道德经》第二十六章
B,note[256],note,道德经,为学日益，为道日损，损之又损，以至于无为，无为而无不为,道德经（王弼注）,第四十八章,损之又损，以至于无为。无为而无不为,76.0,引文开头有'为学日益，为道日损'，检索结果从'损之又损'开始，缺少前两句，但属于版本节选差异，学术可接受,,注释： ⏎ 1、“无为而无不为”，出自《道德经》第四十八章。原文“〖为学日益，为道日损，损之又损，以至于无为，无为而无不为〗。”‌‌“无为”‌：不是指消极不作为，而是“不妄为”“不强为”，就是遵循自然规律（“道”）的“无欲望性的作为”‌。‌“无不为”‌：就是顺应规律的情况下，自然而然会显化成果，就如同“天地相合，以降甘露”【作者解读】作者引用《道德经》第四十八章原文。
B,note[256],note,,曲则全，枉则直,道德经（王弼注）,第二十二章,则全也。枉则直,83.3,引文为'曲则全，枉则直'，检索结果为'则全也。枉则直'，缺少'曲'字且多'也'字，属于版本差异,,欲望性的作为”‌。‌“无不为”‌：就是顺应规律的情况下，自然而然会显化成果，就如同“天地相合，以降甘露”般自然达成目标。“无为”是方法论，“无不为”是结果，二者统一于“道法自然”的终极法则‌。老子以“〖曲则全，枉则直〗”来类比，想告诉人们迂回、顺应自然，而不是硬刚强干，反能成就圆满。‌‌ ⏎ 2)	“无欲则刚””出自《论语·公冶长》，原文为《论语·公冶长》：“子曰：‘吾未见刚者。’【作者解读】作者引用老子的话来类比说明迂回顺应自然的道理。
B,note[266],note,道德经,道生一，一生二，二生三，三生万物。万物负阴而抱阳，冲气以为和。人之所恶，唯孤、寡、不谷，而王公以为称,道德经（王弼注）,第四十二章,道生一，一生二，二生三，三生万物。万物负阴而抱阳，冲气以为和。人之所恶，唯孤﹑寡﹑不谷，而王公以,95.2,缺字 2；多字 2,,--	1、“万物负阴而抱阳”，出自老子《道德经》第四十二章（通行本），其完整上下文为： ⏎ --	“〖道生一，一生二，二生三，三生万物。万物负阴而抱阳，冲气以为和。人之所恶，唯孤、寡、不谷，而王公以为称〗。负：背负、承载，指万物背后承载着阴的属性；阴：与 “阳” 相对，是中国古代哲学的核心概念，指事物中沉静、柔弱、幽暗、内敛的一面（如黑夜、寒凉、谦逊等）；抱：怀抱、蕴含，指万物自身蕴含着阳的属性；阳：【作者解读】注释引用《道德经》第四十二章完整上下文并解释核心概念。
B,body[310],body,素问・脏气法时论,五谷为养，五菜为充,黄帝内经,,五谷为养，五果为,66.7,引文为'五谷为养，五菜为充'，检索结果为'五谷为养，五果为'，缺少'五菜为充'，但检索结果不完整，属于检索截断，引文本身正确,,-- ⏎ --	3、“〖五谷为养，五菜为充〗”，出自《素问・脏气法时论》，原文是：五谷为养，五果为助，五畜为益，五菜为充，气味合而服之，以补精益气。自倍：食量加倍，暴饮暴食、饮食过量。肠胃：泛指脾胃消化系统。伤：损伤、功能失常。“饮食自倍，肠胃【作者解读】出自《素问・脏气法时论》。作者引用并解释其含义。
B,body[311],body,道德经,祸兮福所依，福兮祸所伏,道德经（王弼注）,第五十八章,兮福之所倚，福兮祸之所,70.0,引文为'祸兮福所依，福兮祸所伏'，检索结果为'兮福之所倚，福兮祸之所'，用字不同（'所依' vs '之所倚'，'所伏' vs '之所'），属于版本差异,,谷为养......五菜为充”整句的意思就是说，五谷为养（主食）+ 五果为助（水果）+ 五畜为益（肉类）+ 五菜为充（蔬菜），四者搭配、气味调和、补精益气。 ⏎ 18“〖祸兮福所依，福兮祸所伏〗”是不是很矛盾呢？ ⏎ 爸爸：幺弟，“祸兮福所依，福兮祸所伏”，这句话感觉好矛盾哟！人出了祸事，怎么还成了好事了，那不是人人都盼望出祸事咯！【作者解读】出自老子《道德经》第五十八章。作者通过父子对话解释其含义。
B,body[321],body,道德经,专气至柔，能婴儿乎？涤除玄览，能无疵乎？,道德经（王弼注）,第十章,专气致柔，能婴儿乎﹖专，任也，致极也，言任自然之气。致，至柔之和，能若婴儿之无所欲乎，则物全而性,86.0,引文为'专气至柔'，检索结果为'专气致柔'，'至'与'致'为通假字差异，学术可接受,,--	‌ ⏎ 19“〖专气至柔，能婴儿乎？涤除玄览，能无疵乎？〗”该如何理解？ ⏎ 爸爸：幺弟，《道德经》里“专气至柔，能婴儿乎？涤除玄览，能无疵乎？”你是如何理解的？【作者解读】出自《道德经》。作者以问题形式引出，未作解释。
B,note[368],note,管子·牧民,仓廪实则知礼节，衣食足则知荣辱,周易（南怀瑾译注）,第一章,仓廪实而知礼节，衣食足而知荣辱,75.0,引文用'则'，候选用'而'，属同义替换,,庭环境、社会大环境影响等方面的影响。我们每个人不可能什么都占有，如果有一个不足，就用另外两个去弥补。就好像“孟母三迁”一样，像孔子说的“与善人居，像入兰芝之室，而久闻其香”，又像《管子·牧民》中说的“〖仓廪实则知礼节，衣食足则知荣辱〗”。总之就是给娃儿提供一个好的物质环境，好的品德自然就形成了。“性相近也，习相远也”也和不同环境影响有关，只要父母都能晓得至“兰芝之室”这个道理，孩子则更有可能“蹊成于乾坤之间”。【作者解读】出自《管子·牧民》。
B,note[380],note,管子·牧民,仓廪实则知礼节，衣食足则知荣辱,周易（南怀瑾译注）,第一章,仓廪实而知礼节，衣食足而知荣辱,75.0,引文用'则'，候选用'而'，属同义替换,,--	‌‌ ⏎ 6)	“〖仓廪实则知礼节，衣食足则知荣辱〗”出处‌最早见于《管子·牧民》。这段话是春秋时期管仲提出的治国理念，后被司马迁在《史记·管晏列传》中引用并流传至今‌。意思是，粮仓充实、衣食无忧后，人们才会注重礼仪规范，形成荣辱的认知观念‌。这和我们【作者解读】意思是，粮仓充实、衣食无忧后，人们才会注重礼仪规范，形成荣辱的认知观念。这和我们现代所说的先发展物质文明，再发展人们的精神文明，是一个道理。深刻揭示了物质基础与精神文明的辩证关系。
B,note[384],note,,性相近，习相远,论语（杨伯峻译注）,十二、本书引用诸家，除仲父及师友称字并称“先生”外，余皆称名。,相近也，习相远,83.3,引文为'性相近，习相远'，候选为'相近也，习相远'，缺'性'字，但属常见异文,,7)	“蹊成于乾坤之间”，这个表述融合了儒家经典和易学思想。王夫之提出“乾坤即太极”，认为阴阳二气和合构成宇宙本体，“蹊”的生成正是乾坤交泰的具象化。前面说了“〖性相近，习相远〗”，这里进一步说明了每个人都需要通过持续实践才能将先天潜能转化为现实能力，就像“蹊”在乾坤互动中成形一样。 ⏎ --【作者解读】这里进一步说明了每个人都需要通过持续实践才能将先天潜能转化为现实能力，就像“蹊”在乾坤互动中成形一样。
B,body[425],body,庄子·人间世,无用之用，才是大用,庄子,,用之用、无用之大用,62.5,意译/缩写；引文为概括性表述，非原文直接引用,可改为“人皆知有用之用，而莫知无用之用也”,知“道”的存在，才是真谛。只要我们内心懂得“道”了，就会在琴棋书画里面体现出来。现在很多人都问，学琴棋书画这些东西有什么用吗？如果没用就不去学，也不靠琴棋书画混饭吃，那为什么还去学它嘛！他们都不晓得“〖无用之用，才是大用〗”。我们的精神世界很丰满了，我们自己什么事情做不好嘛！就是这些无用的精神世界，才成就了我们有用的事业，这个就是道。它看不到，摸不到，听不到，但确实影响了我们。 ⏎ 注【作者解读】化用自《庄子·人间世》等道家思想，强调无用之用的价值。作者以此说明精神世界的重要性。
B,body[442],body,大学,自天子以至于庶人，皆以修身为本,大学中庸,第一章,自天子 [34] 以至于庶人 [35] ，壹是 [36] 皆以修身,87.5,引文省略“壹是”二字，但意思完整,,和恶之分？就是同一个孩子，如果他处在爱的环境，他肯定内心也会爱别人；假如这个孩子生长在暴力环境中，父母天天打架，这个孩子长大了也容易打架。除了环境以外，自己的学习和修炼也是很重要的，《大学》中也说了“〖自天子以至于庶人，皆以修身为本〗”。 ⏎ 爸爸，为什么我们每个人都要看国学中的这些经典书籍？看了这些经书后，我们就会种下一颗善的种子在心里，我们人就不会让不好的环境对我们产生影响。很多人无法选择家庭【作者解读】出自《大学》。作者在对话中引用，强调修身的重要性。
B,note[445],note,道德经,天下皆知美之为美，斯恶也；皆知善之为善，斯不善已,道德经（王弼注）,第二章,天下皆知美之为美，斯恶已。皆知善之为善，斯不善已,87.0,引文用“斯恶也”而原文用“斯恶已”，属异文,,注释： ⏎ --	1、“〖天下皆知美之为美，斯恶也；皆知善之为善，斯不善已〗”出自《道德经》第二章。天下皆知美之为美：“天下” 指天下人、世人，“皆知” 指都知晓、都明白，“美之为美” 指 “美之所以是美”，即美被明确界定、被世人共同认可为美的标准；斯恶也：“斯” 为连词，意【作者解读】作者对《道德经》第二章此句的逐词解释与整体解读，强调美丑、善恶相对而生的辩证法思想。
B,body[559],body,易经,水利万物而不争,道德经（王弼注）,第八章,利万物而不争,77.8,quote 为“水利万物而不争”，matched_passage 为“利万物而不争”，缺“水”字，但属常见省略，语义一致,,被认可，是能力重要还是情商重要？ ⏎ 幺弟：爸爸，《易经》讲“一阴一阳之谓道”，能力是术的层面的，情商是道的层面的。那肯定道更重要，因为道可以驾驭术，就像老子所说，“〖水利万物而不争〗”，只要你不懂道，你就不会真的为别人好，也就很难得到别人的真心喜欢。 ⏎ 爸爸，就像你直播卖书，你肯定要讲那个书到底给别人带来什么好处，别人才会开心的去买，而不是天天
B,note[562],note,周易·系辞,太极生两仪、两仪生四象,周易（南怀瑾译注）,第十一章,太极1，是生两仪2，两仪生四,83.3,quote 为“太极生两仪、两仪生四象”，matched_passage 为“太极1，是生两仪2，两仪生四”，有标点和数字差异，但核心一致,,1)	‌“一阴一阳之谓道”出自《周易·系辞》。道家《道德经》中也将“万物负阴而抱阳，冲气以为和”，指出了阴阳调和是万物生成的根本。孔子通过伏羲六十四卦次序图阐释了“〖太极生两仪、两仪生四象〗”的生化过程，也指出了阴阳相互依存、转化、推移的持久法则‌。 ⏎ 2、“君子先慎乎德，有德此有人”出自《礼记·大学》。完整表述为：“是故君子先慎乎德。有德此有人，有人【作者解读】出自孔子对伏羲六十四卦次序图的阐释
B,body[568],body,大学,至天子以至于庶人皆以修身为本,大学中庸,第一章,天子 [34] 以至于庶人 [35] ，壹是 [36] 皆以修身为,81.2,quote 为“至天子以至于庶人皆以修身为本”，matched_passage 为“天子 [34] 以至于庶人 [35] ，壹是 [36] 皆以修身为”，有“至”与“至于”差异及注释标记，但语义一致,,上。”人在高位的时候不欺负下面的人，在低位的时候不巴结上面的人。这个人走投无路去摆地摊儿，靠自己劳动吃饭，有什么丢人的嘛！比那些穷的冒烟，还死要面子，好大个人了还蹲在家里面，靠父母养的人可要强多了！“〖至天子以至于庶人皆以修身为本〗”，这句话启发我们，不管你是大老板还是摆地摊儿的，真正的根本就是修身。摆地摊儿不是堕落，自己在困境的时候依然选择行动，这才是真正的修身。《大学》里面说“富润屋，德润身”，那些真正的德行才能滋养我们的人【作者解读】出自《大学》
B,body[602],body,周易·否卦,天地不交，万物不通,周易（南怀瑾译注）,第十一章,天地不交而万物不,87.5,引文为'天地不交，万物不通'，检索结果为'天地不交而万物不'，后者为不完整句，但核心一致，且出自《周易》不同版本，差异可接受,,慢消耗殆尽，就像《道德经》里面说的，“下德不失德，就是无德”。表面上不说话，为了避免争端不去解决问题，这就是没有德，是回避问题，夫妻长期不交流，就好像《易经》所讲的“阴阳隔绝”。和《易经》否卦一样，“〖天地不交，万物不通〗”。我看到有的夫妻吵架了，两个人都互不关心，电话也拉黑，晚上回到家里也都是各玩各的手机，两个人的心肯定越来越远，最后的结局想都不用想，肯定就是离婚。就像《庄子》里面说的，“心死则形役”。好比一个手指断【作者解读】出自《周易·否卦》。
B,body[624],body,庄子·齐物论,其寐也魂交，其觉也形开，与接为构，日以心斗,庄子,,其寐也魂交 (3) ，其觉也形开 (4) 。与接为抅 (5) ，日以心斗,85.0,引文'与接为构'，检索结果为'与接为抅'，'构'与'抅'为异体字或通假字,,会是恋爱脑？ ⏎ 幺弟：爸爸，我想也许恋爱脑的人，睡觉的时候魂都在打架，心神分离了，把对方一句话，一个表情就当做全部真相进行胡乱猜想。这让我想到《庄子》说的一句话，“〖其寐也魂交，其觉也形开，与接为构，日以心斗〗”。而容易“恋爱脑”的人通常也多是体质比较弱的人，很容易把情感寄托给别人，时间久了就形成依赖了。正所谓，“体弱则多情，情深则不寿；情深者不受，爱深者必辱”。因为体质弱，也就更容易控制不了自己的情感。我【作者解读】出自《庄子·齐物论》，作者用来形容恋爱脑的人心神不安的状态
B,note[709],note,礼记·大学,大学之道，在明明德，在新民，在止于至善。知止而后有定，定而后能静，静而后能安，安而后能虑，虑而后能得,大学中庸,第一章,"大学 [1] 之道，在明明德 [2] ，在亲 [3] 民，在止 [4] 于至 [5] 善。

知 [6] 止 [7] 而后有定 [8] ，定而后能静 [9] ，静而后能安 [10] ，安而后能虑 [11] ，虑而后能得",93.2,引文'在新民'与原文'在亲民'存在异文，但'新民'为常见通假用法，学术可接受,,注释： ⏎ --	1、“〖大学之道，在明明德，在新民，在止于至善。知止而后有定，定而后能静，静而后能安，安而后能虑，虑而后能得〗”出自《礼记·大学》。新民”通“亲民”。是指真正的学习之道，在于唤醒内在本善和良知，探明自身本自具足的光明德性；在于推己及人，亲近和教化民众（修己以安百姓）；在于将心安住于道，以追求圆满的道德境界为终【作者解读】出自《礼记·大学》，作者随后解释“新民”通“亲民”，并说明大学之道的三纲八目。
